window,side,dir,entry_time,entry,sl,tp,units,exit_time,exit,pnl
DRIDR1,long,1,2025-07-17 13:05:00+00:00,1.15966,1.15559,1.16057,2.4570024570024462,2025-07-17 13:30:00+00:00,1.158705,-0.002346437346436887
DRIDR2,short,-1,2025-07-18 04:40:00+00:00,1.16188,1.16318,1.15993,7.692305887355421,2025-07-18 08:00:00+00:00,1.16318,-0.009999997653562654
DRIDR2,long,1,2025-07-18 13:40:00+00:00,1.1657,1.1643,1.1664,7.142848323974654,2025-07-18 13:55:00+00:00,1.1664,0.004999993826783293
DRIDR2,long,1,2025-07-18 14:20:00+00:00,1.165325,1.16478,1.1661424999999999,18.348610373501838,2025-07-18 14:50:00+00:00,1.16478,-0.009999992653558826
DRIDR2,long,1,2025-07-21 05:00:00+00:00,1.163075,1.1621,1.1645375000000002,10.256392465194287,2025-07-21 07:00:00+00:00,1.1645375000000002,0.014999973980348124
DRIDR2,long,1,2025-07-21 07:20:00+00:00,1.16421,1.16292,1.166145,7.751936165534923,2025-07-21 11:20:00+00:00,1.166145,0.014999996480310232
DRIDR2,long,1,2025-07-21 13:30:00+00:00,1.16633,1.16577,1.16642,17.857165452740293,2025-07-21 13:30:00+00:00,1.16642,0.00160714489074526
DRIDR2,long,1,2025-07-21 13:40:00+00:00,1.166335,1.16555,1.16644,12.738871669661018,2025-07-21 13:45:00+00:00,1.16644,0.001337581525314684
DRIDR1,long,1,2025-07-24 13:20:00+00:00,1.17611,1.17308,1.1768,3.300335180944805,2025-07-24 13:25:00+00:00,1.1768,0.0022772312748521777
DRIDR2,long,1,2025-07-25 04:00:00+00:00,1.1745,1.17342,1.1761200000000005,9.259275810641249,2025-07-25 09:05:00+00:00,1.17342,-0.010000017875494326
DRIDR2,short,-1,2025-07-25 13:30:00+00:00,1.17147,1.17301,1.17143,6.493511607451831,2025-07-25 13:30:00+00:00,1.17143,0.000259740464298333
DRIDR2,short,-1,2025-07-25 14:25:00+00:00,1.17333,1.17383,1.17258,20.000016270436028,2025-07-25 15:05:00+00:00,1.17258,0.01500001220282759
DRIDR2,short,-1,2025-07-28 05:10:00+00:00,1.17439,1.1758,1.1722750000000002,7.092214989524642,2025-07-28 06:20:00+00:00,1.1722750000000002,0.015000034702843675
DRIDR2,short,-1,2025-07-28 06:55:00+00:00,1.17212,1.17451,1.17053,4.1841163745875605,2025-07-28 07:30:00+00:00,1.17053,0.006652745035594139
DRIDR2,short,-1,2025-07-28 13:30:00+00:00,1.16375,1.1665,1.16358,3.636379922912271,2025-07-28 13:30:00+00:00,1.16358,0.0006181845868950987
DRIDR2,short,-1,2025-07-28 13:35:00+00:00,1.1632,1.1665,1.16309,3.0303167897555148,2025-07-28 13:35:00+00:00,1.16309,0.0003333348468732718
DRIDR2,short,-1,2025-07-28 14:35:00+00:00,1.16412,1.16621,1.16309,4.784710880157247,2025-07-28 15:05:00+00:00,1.16309,0.004928252206562378
DRIDR2,short,-1,2025-08-01 07:10:00+00:00,1.14248,1.14382,1.14059,7.462724378940006,2025-08-01 08:45:00+00:00,1.14059,0.014104549076196219
DRIDR1,long,1,2025-08-01 12:30:00+00:00,1.151325,1.13914,1.14209,0.8206864811103538,2025-08-01 12:30:00+00:00,1.14209,-0.007579039653054021
DRIDR2,long,1,2025-08-01 13:30:00+00:00,1.15723,1.13914,1.15758,0.5527947591647293,2025-08-01 13:30:00+00:00,1.15758,0.00019347816570769533
DRIDR2,long,1,2025-08-01 13:55:00+00:00,1.156305,1.13914,1.15838,0.5825841763337114,2025-08-01 14:00:00+00:00,1.15838,0.0012088621658924797
DRIDR2,long,1,2025-08-01 14:15:00+00:00,1.156695,1.15006,1.15838,1.5071678365682488,2025-08-01 20:20:00+00:00,1.15838,0.0025395778046174034
DRIDR2,short,-1,2025-08-04 04:35:00+00:00,1.15804,1.15866,1.1571099999999999,16.12913086323711,2025-08-04 05:40:00+00:00,1.1571099999999999,0.015000091702812081
DRIDR2,long,1,2025-08-05 00:40:00+00:00,1.15769,1.1571900000000002,1.1584400000000001,20.000152270601713,2025-08-05 00:55:00+00:00,1.1571900000000002,-0.010000076135299756
DRIDR1,short,-1,2025-08-05 09:30:00+00:00,1.15422,1.15494,1.15314,13.8889807433651,2025-08-05 11:35:00+00:00,1.15314,0.01500009920283389
DRIDR1,long,1,2025-08-07 09:40:00+00:00,1.16784,1.1673,1.16865,18.518668769116857,2025-08-07 09:50:00+00:00,1.1673,-0.010000081135322823
DRIDR2,short,-1,2025-08-08 04:20:00+00:00,1.1661,1.1665999999999999,1.16535,20.000142270485583,2025-08-08 05:10:00+00:00,1.16535,0.015000106702860314
DRIDR2,short,-1,2025-08-08 18:45:00+00:00,1.16495,1.16669,1.16468,5.747175939855151,2025-08-08 19:20:00+00:00,1.16468,0.0015517375037608476
DRIDR2,short,-1,2025-08-11 04:25:00+00:00,1.167315,1.167815,1.1665650000000003,20.000175374173995,2025-08-11 06:30:00+00:00,1.1665650000000003,0.015000131530626624
DRIDR2,short,-1,2025-08-11 07:00:00+00:00,1.16593,1.16744,1.16468,6.622584561070607,2025-08-11 07:55:00+00:00,1.16468,0.008278230701338082
DRIDR2,short,-1,2025-08-11 08:15:00+00:00,1.16511,1.16687,1.16468,5.681881230368307,2025-08-11 09:15:00+00:00,1.16468,0.0024432089290592385
DRIDR2,short,-1,2025-08-11 13:30:00+00:00,1.161915,1.16316,1.16181,8.032219605347418,2025-08-11 13:30:00+00:00,1.16181,0.0008433830585616535
DRIDR2,short,-1,2025-08-11 13:35:00+00:00,1.1619,1.16316,1.16174,7.936598612730006,2025-08-11 13:35:00+00:00,1.16174,0.0012698557780363086
DRIDR2,short,-1,2025-08-11 13:45:00+00:00,1.162165,1.16287,1.16174,14.184561023962232,2025-08-11 14:00:00+00:00,1.16174,0.006028438435182497
